"Enter a Complain (20-40 words)

ex: about Bad roads, sewage clogging, electricity pole etc",Department Name,,
Unmaintained road medians and islands are affecting the aesthetic appeal of the area.,Road Department,,
Insufficient pedestrian-friendly infrastructure is discouraging walking as a mode of transport.,Road Department,,
Overgrown vegetation is obstructing road signs and hindering visibility.,Road Department,,
Lack of regular road cleaning is resulting in litter accumulation and unhygienic conditions.,Road Department,,
Absence of noise barriers near residential areas is causing disturbance and noise pollution.,Road Department,,
Unattended roadwork zones are causing hazards and inconveniences for motorists.,Road Department,,
Inadequate road repair funding is delaying essential maintenance and improvements.,Road Department,,
Improper drainage of rainwater is causing erosion and damage to the road surface.,Road Department,,
Lack of designated lanes for public transport is causing delays and congestion.,Road Department,,
Poorly maintained road shoulders are limiting space for emergency vehicles.,Road Department,,
Absence of effective speed control measures is endangering pedestrians and cyclists.,Road Department,,
Insufficient road safety education campaigns are contributing to reckless driving behaviors.,Road Department,,
Unregulated parking in no-parking zones is obstructing traffic flow.,Road Department,,
Lack of proper traffic enforcement is leading to rampant rule violations on roads.,Road Department,,
Overgrown trees with low branches are causing obstructions to tall vehicles.,Road Department,,
Inadequate road maintenance during extreme weather conditions is resulting in hazardous conditions.,Road Department,,
Absence of adequate rest areas for long-distance drivers is impacting driver fatigue and safety.,Road Department,,
Unresolved road expansion projects are causing prolonged inconvenience to residents.,Road Department,,
Lack of proper road connectivity between neighborhoods is creating transportation gaps.,Road Department,,
Inadequate road repair notification and diversion signage is causing confusion for motorists.,Road Department,,
Unauthorized speed bumps installed by residents are disrupting the flow of traffic.,Road Department,,
Insufficient parking facilities near commercial areas are resulting in parking chaos on nearby roads.,Road Department,,
Absence of road safety audits and assessments is compromising overall road safety standards.,Road Department,,
Poorly designed road curves and bends are increasing the risk of accidents.,Road Department,,
Inadequate maintenance of road markings is affecting lane discipline and driver awareness.,Road Department,,
Unattended roadside ditches and pits are posing safety risks to pedestrians and cyclists.,Road Department,,
Lack of sufficient bus bays and stops is causing congestion and delays for other vehicles.,Road Department,,
Unauthorized road repair activities by private contractors are leading to substandard results.,Road Department,,
Inefficient traffic signal timings are causing unnecessary delays and traffic congestion.,Road Department,,
"Absence of proper road aesthetics, such as landscaping and green spaces, is impacting the overall ambiance.",Road Department,,
Overdue repairs and maintenance of damaged road guardrails are endangering motorists.,Road Department,,
Inadequate provision of street parking spaces is resulting in vehicles blocking traffic lanes.,Road Department,,
Unauthorized road humps installed without proper justification are causing discomfort to drivers.,Road Department,,
Lack of public awareness campaigns on road safety is contributing to negligent driving behavior.,Road Department,,
Insufficient road accessibility for emergency vehicles is delaying response times.,Road Department,,
Obsolete or malfunctioning traffic lights are causing confusion and increasing accident risks.,Road Department,,
Unaddressed road cracks and fissures are widening and worsening over time.,Road Department,,
Inadequate traffic police presence during peak hours is resulting in traffic rule violations.,Road Department,,
Absence of proper road repair budget allocation is causing delays in necessary repairs.,Road Department,,
Poorly designed pedestrian footbridges are discouraging their use and endangering pedestrians.,Road Department,,
Insufficient maintenance of road drainage systems is causing water accumulation on roadsides.,Road Department,,
Lack of proper road maintenance in residential areas is negatively impacting property values.,Road Department,,
Unauthorized road closures without proper alternative routes are causing inconvenience to motorists.,Road Department,,
Inadequate coordination between road construction projects is leading to overlapping disruptions.,Road Department,,
Unattended road cracks and fissures are causing discomfort and damage to cyclists.,Road Department,,
Absence of proper road connectivity to essential services like hospitals and schools is a concern.,Road Department,,
Inefficient management of road detours during repairs is resulting in confusion and delays.,Road Department,,
Poorly lit underpasses and tunnels are compromising safety for pedestrians and drivers.,Road Department,,
Inadequate road safety audits for school zones are putting child pedestrians at risk.,Road Department,,
Unauthorized road widening projects are encroaching on private properties without proper compensation.,Road Department,,
Unaddressed road hazards such as loose debris and fallen branches are posing risks to motorists.,Road Department,,
Insufficient parking spaces near public transportation hubs are causing congestion spill-over onto nearby roads.,Road Department,,
Lack of road safety awareness programs for schools and educational institutions is concerning.,Road Department,,
"Inadequate provisions for cyclists, such as dedicated bike lanes and parking, are discouraging cycling.",Road Department,,
Unauthorized roadblocks and checkpoints without legal authority are causing inconvenience to motorists.,Road Department,,
Overgrown grass and vegetation on road medians are obstructing visibility for drivers.,Road Department,,
"Inefficient road signage maintenance is leading to faded or missing signs, causing confusion.",Road Department,,
"Absence of proper road infrastructure for alternative modes of transport, such as electric vehicles, is lacking.",Road Department,,
Poorly designed road roundabouts are leading to traffic congestion and confusion among drivers.,Road Department,,
